Gene stable ID	NCBI gene ID	Gene name	Source of gene name	HGNC symbol
ENSG00000231623		RPL15P4	HGNC Symbol	RPL15P4
ENSG00000244550		AC006455.8	Clone-based (Ensembl) gene	
ENSG00000265897		AC233263.1	Clone-based (Ensembl) gene	
ENSG00000276581	727905	SPATA31A5	HGNC Symbol	SPATA31A5
ENSG00000256043	1519	CTSO	HGNC Symbol	CTSO
ENSG00000242654		RPL32P14	HGNC Symbol	RPL32P14
ENSG00000255442		AC109635.5	Clone-based (Ensembl) gene	
ENSG00000227018		IL6STP1	HGNC Symbol	IL6STP1
ENSG00000181915	84890	ADO	HGNC Symbol	ADO
ENSG00000237515	729993	SHISA9	HGNC Symbol	SHISA9
ENSG00000249174		AC106744.1	Clone-based (Ensembl) gene	
ENSG00000282602		Z82244.2	Clone-based (Ensembl) gene	
ENSG00000270424		AC145285.5	Clone-based (Ensembl) gene	
ENSG00000240707	399829	LINC01168	HGNC Symbol	LINC01168
ENSG00000227590		ATP5MC1P5	HGNC Symbol	ATP5MC1P5
ENSG00000225254		ARMC8P1	HGNC Symbol	ARMC8P1
ENSG00000274533	3809	KIR2DS4	HGNC Symbol	KIR2DS4
ENSG00000152292	284948	SH2D6	HGNC Symbol	SH2D6
ENSG00000188064	7477	WNT7B	HGNC Symbol	WNT7B
ENSG00000253708		AC026979.1	Clone-based (Ensembl) gene	
ENSG00000005073	3207	HOXA11	HGNC Symbol	HOXA11
ENSG00000251487		AC106744.2	Clone-based (Ensembl) gene	
ENSG00000253884		AC022616.5	Clone-based (Ensembl) gene	
ENSG00000226075		PHKG1P1	HGNC Symbol	PHKG1P1
ENSG00000282041		Z82244.1	Clone-based (Ensembl) gene	
ENSG00000179277		MEIS3P1	HGNC Symbol	MEIS3P1
ENSG00000270654		NUTF2P8	HGNC Symbol	NUTF2P8
ENSG00000180071	253650	ANKRD18A	HGNC Symbol	ANKRD18A
ENSG00000196993	100507607	NPIPB9	HGNC Symbol	NPIPB9
ENSG00000229621	645949	LINC01822	HGNC Symbol	LINC01822
ENSG00000230156	100874173	LINC00443	HGNC Symbol	LINC00443
ENSG00000240651		SEPT7P4	HGNC Symbol	SEPT7P4
ENSG00000177669	619373	MBOAT4	HGNC Symbol	MBOAT4
ENSG00000265519		AC015922.2	Clone-based (Ensembl) gene	
ENSG00000262040		AC003958.3	Clone-based (Ensembl) gene	
ENSG00000230102	285389	LINC02028	HGNC Symbol	LINC02028
ENSG00000276855		AC015922.3	Clone-based (Ensembl) gene	
ENSG00000263022	8688	KRT37	HGNC Symbol	KRT37
ENSG00000262752		AP000705.5	Clone-based (Ensembl) gene	
ENSG00000233090		AC015922.1	Clone-based (Ensembl) gene	
ENSG00000148773	4288	MKI67	HGNC Symbol	MKI67
ENSG00000223691		AC068044.1	Clone-based (Ensembl) gene	
ENSG00000254617		AP005435.2	Clone-based (Ensembl) gene	
ENSG00000261847		AP000705.3	Clone-based (Ensembl) gene	
ENSG00000034152	5606	MAP2K3	HGNC Symbol	MAP2K3
ENSG00000234489		ALDH7A1P4	HGNC Symbol	ALDH7A1P4
ENSG00000235148		HMGB3P23	HGNC Symbol	HMGB3P23
ENSG00000100292	3162	HMOX1	HGNC Symbol	HMOX1
ENSG00000072163	55679	LIMS2	HGNC Symbol	LIMS2
ENSG00000262476		AP000705.4	Clone-based (Ensembl) gene	
ENSG00000157617	25966	C2CD2	HGNC Symbol	C2CD2
ENSG00000277709	3812	KIR3DL2	HGNC Symbol	KIR3DL2
ENSG00000266460		AC021506.1	Clone-based (Ensembl) gene	
ENSG00000233005		AC018742.1	Clone-based (Ensembl) gene	
ENSG00000168122		ZNF355P	HGNC Symbol	ZNF355P
ENSG00000205412		HNRNPA1P20	HGNC Symbol	HNRNPA1P20
ENSG00000006757	8228	PNPLA4	HGNC Symbol	PNPLA4
ENSG00000234189		AC099799.1	Clone-based (Ensembl) gene	
ENSG00000275827		AC021506.2	Clone-based (Ensembl) gene	
ENSG00000282598		AC138374.2	Clone-based (Ensembl) gene	
ENSG00000244650		AC025566.1	Clone-based (Ensembl) gene	
ENSG00000235537		AC009411.2	Clone-based (Ensembl) gene	
ENSG00000251616		AC113410.2	Clone-based (Ensembl) gene	
ENSG00000282712	10522	DEAF1	HGNC Symbol	DEAF1
ENSG00000104671	10671	DCTN6	HGNC Symbol	DCTN6
ENSG00000249557		HSPD1P15	HGNC Symbol	HSPD1P15
ENSG00000254785		AP005435.3	Clone-based (Ensembl) gene	
ENSG00000243347		LINC02045	HGNC Symbol	LINC02045
ENSG00000228538		AC009411.1	Clone-based (Ensembl) gene	
ENSG00000253508		AC004080.2	Clone-based (Ensembl) gene	
ENSG00000282684	23144	ZC3H3	HGNC Symbol	ZC3H3
ENSG00000255055		MTND1P35	HGNC Symbol	MTND1P35
ENSG00000236445		LINC00608	HGNC Symbol	LINC00608
ENSG00000240990	221883	HOXA11-AS	HGNC Symbol	HOXA11-AS
ENSG00000225347		SLC25A5P8	HGNC Symbol	SLC25A5P8
ENSG00000237202		AJ239321.1	Clone-based (Ensembl) gene	
ENSG00000224728		IMPDH1P8	HGNC Symbol	IMPDH1P8
ENSG00000231204	100507562	AC011752.1	Clone-based (Ensembl) gene	
ENSG00000224524		CYCSP42	HGNC Symbol	CYCSP42
ENSG00000278698		AL162574.2	Clone-based (Ensembl) gene	
ENSG00000174326	162515	SLC16A11	HGNC Symbol	SLC16A11
ENSG00000250118		AC114300.1	Clone-based (Ensembl) gene	
ENSG00000247925		AL139807.1	Clone-based (Ensembl) gene	
ENSG00000174408		PPIAP24	HGNC Symbol	PPIAP24
ENSG00000120158	10171	RCL1	HGNC Symbol	RCL1
ENSG00000279847	389676	C8orf87	HGNC Symbol	C8orf87
ENSG00000262993	3881	KRT31	HGNC Symbol	KRT31
ENSG00000111859	4739	NEDD9	HGNC Symbol	NEDD9
ENSG00000149742	114571	SLC22A9	HGNC Symbol	SLC22A9
ENSG00000084207	2950	GSTP1	HGNC Symbol	GSTP1
ENSG00000253496		AC011586.2	Clone-based (Ensembl) gene	
ENSG00000064687	10347	ABCA7	HGNC Symbol	ABCA7
ENSG00000234801		MORF4	HGNC Symbol	MORF4
ENSG00000213370		RANP6	HGNC Symbol	RANP6
ENSG00000140254	90527	DUOXA1	HGNC Symbol	DUOXA1
ENSG00000262116		AC009134.1	Clone-based (Ensembl) gene	
ENSG00000163497	54738	FEV	HGNC Symbol	FEV
ENSG00000237125	79804	HAND2-AS1	HGNC Symbol	HAND2-AS1
ENSG00000251679		AC073848.1	Clone-based (Ensembl) gene	
ENSG00000281904		AC233263.6	Clone-based (Ensembl) gene	
ENSG00000225834	414764	HCG23	NCBI gene	
ENSG00000225834	101929163	HCG23	NCBI gene	
ENSG00000230964		AC233266.1	Clone-based (Ensembl) gene	
ENSG00000263141	94104	PAXBP1	HGNC Symbol	PAXBP1
ENSG00000248698	152742	LINC01085	HGNC Symbol	LINC01085
ENSG00000253184		AC011586.1	Clone-based (Ensembl) gene	
ENSG00000237750	101929570	AC011900.1	Clone-based (Ensembl) gene	
ENSG00000261600		AC233266.2	Clone-based (Ensembl) gene	
ENSG00000236919		AC109635.1	Clone-based (Ensembl) gene	
ENSG00000255166		AC022616.7	Clone-based (Ensembl) gene	
ENSG00000204787	5969	REG1CP	HGNC Symbol	REG1CP
ENSG00000188078		AL022313.1	Clone-based (Ensembl) gene	
ENSG00000224770	56244	BTNL2	HGNC Symbol	BTNL2
ENSG00000115271	25801	GCA	HGNC Symbol	GCA
ENSG00000282192		AC067930.8	Clone-based (Ensembl) gene	
ENSG00000119906	55719	SLF2	HGNC Symbol	SLF2
ENSG00000262748	100653049	AC207056.1	Clone-based (Ensembl) gene	
ENSG00000270367		AC092053.1	Clone-based (Ensembl) gene	
ENSG00000237057	101928567	LINC02087	HGNC Symbol	LINC02087
ENSG00000228799	101060385	LINC01939	HGNC Symbol	LINC01939
ENSG00000229690		MTCO2P1	HGNC Symbol	MTCO2P1
ENSG00000101144	655	BMP7	HGNC Symbol	BMP7
ENSG00000117906	5955	RCN2	HGNC Symbol	RCN2
ENSG00000229971		AL022313.3	Clone-based (Ensembl) gene	
ENSG00000262860	26065	LSM14A	HGNC Symbol	LSM14A
ENSG00000109881	91057	CCDC34	HGNC Symbol	CCDC34
ENSG00000249407		IL20RB-AS1	HGNC Symbol	IL20RB-AS1
ENSG00000234796		AC113607.1	Clone-based (Ensembl) gene	
ENSG00000158092	4690	NCK1	HGNC Symbol	NCK1
ENSG00000261675		AL022313.4	Clone-based (Ensembl) gene	
ENSG00000248245	105379181	AC010307.2	Clone-based (Ensembl) gene	
ENSG00000230394		AC078960.1	Clone-based (Ensembl) gene	
ENSG00000124429	79983	POF1B	HGNC Symbol	POF1B
ENSG00000275921	3806	CU633846.1	Clone-based (Ensembl) gene	
ENSG00000275921	112267928	CU633846.1	Clone-based (Ensembl) gene	
ENSG00000107614	1787	TRDMT1	HGNC Symbol	TRDMT1
ENSG00000166862	10369	CACNG2	HGNC Symbol	CACNG2
ENSG00000235439	7919	DDX39B	HGNC Symbol	DDX39B
ENSG00000235439	100532737	DDX39B	HGNC Symbol	DDX39B
ENSG00000177504	51480	VCX2	HGNC Symbol	VCX2
ENSG00000280104		AC010608.3	Clone-based (Ensembl) gene	
ENSG00000053108	23105	FSTL4	HGNC Symbol	FSTL4
ENSG00000270542		AL356218.2	Clone-based (Ensembl) gene	
ENSG00000238043		AC024559.1	Clone-based (Ensembl) gene	
ENSG00000153495	121793	TEX29	HGNC Symbol	TEX29
ENSG00000248302		BNIP3P41	HGNC Symbol	BNIP3P41
ENSG00000276407		AC024559.2	Clone-based (Ensembl) gene	
ENSG00000272602	152687	ZNF595	HGNC Symbol	ZNF595
ENSG00000229511		GAS2L1P1	HGNC Symbol	GAS2L1P1
ENSG00000215165		TCEA1P3	HGNC Symbol	TCEA1P3
ENSG00000273036		AL390726.5	Clone-based (Ensembl) gene	
ENSG00000272934		AL390726.4	Clone-based (Ensembl) gene	
ENSG00000274776		AC090241.3	Clone-based (Ensembl) gene	
ENSG00000285679		AC097626.1	Clone-based (Ensembl) gene	
ENSG00000204860	158228	FAM201A	HGNC Symbol	FAM201A
ENSG00000240758		AC010655.2	Clone-based (Ensembl) gene	
ENSG00000235688		AC116614.1	Clone-based (Ensembl) gene	
ENSG00000137809	22801	ITGA11	HGNC Symbol	ITGA11
ENSG00000227959		AL451042.2	Clone-based (Ensembl) gene	
ENSG00000179299	79730	NSUN7	HGNC Symbol	NSUN7
ENSG00000249988		AC092546.1	Clone-based (Ensembl) gene	
ENSG00000272601		AC010655.3	Clone-based (Ensembl) gene	
ENSG00000270555		AC211469.1	Clone-based (Ensembl) gene	
ENSG00000244065		MARK2P17	HGNC Symbol	MARK2P17
ENSG00000243022		MARK3P3	HGNC Symbol	MARK3P3
ENSG00000242062		MARK2P6	HGNC Symbol	MARK2P6
ENSG00000135245	29923	HILPDA	HGNC Symbol	HILPDA
ENSG00000261159		AC112484.3	Clone-based (Ensembl) gene	
ENSG00000271869		AC026979.2	Clone-based (Ensembl) gene	
ENSG00000241511		RPS15AP24	HGNC Symbol	RPS15AP24
ENSG00000225345		SNX18P3	HGNC Symbol	SNX18P3
ENSG00000179468	135924	OR9A2	HGNC Symbol	OR9A2
ENSG00000104660	23484	LEPROTL1	HGNC Symbol	LEPROTL1
ENSG00000176007		FAM220BP	HGNC Symbol	FAM220BP
ENSG00000231305	653712	AC112484.1	Clone-based (Ensembl) gene	
ENSG00000227739	203068	TUBB	HGNC Symbol	TUBB
ENSG00000108958		AC130689.1	Clone-based (Ensembl) gene	
ENSG00000132383	6117	RPA1	HGNC Symbol	RPA1
ENSG00000164902	51808	PHAX	HGNC Symbol	PHAX
ENSG00000283162		AL390726.6	Clone-based (Ensembl) gene	
ENSG00000283486	100289137	FAM95C	HGNC Symbol	FAM95C
ENSG00000179934	1237	CCR8	HGNC Symbol	CCR8
ENSG00000103415	3163	HMOX2	HGNC Symbol	HMOX2
ENSG00000215881	105370369	LINC02337	HGNC Symbol	LINC02337
ENSG00000250796		AC112484.2	Clone-based (Ensembl) gene	
ENSG00000204398		AL359649.1	Clone-based (Ensembl) gene	
ENSG00000227790		SPECC1P1	HGNC Symbol	SPECC1P1
ENSG00000226903		LINC00354	HGNC Symbol	LINC00354
ENSG00000165055	55798	METTL2B	HGNC Symbol	METTL2B
ENSG00000254691		AP002812.3	Clone-based (Ensembl) gene	
ENSG00000230118		AC092569.1	Clone-based (Ensembl) gene	
ENSG00000241782		AP002812.1	Clone-based (Ensembl) gene	
ENSG00000162949	92291	CAPN13	HGNC Symbol	CAPN13
ENSG00000255449		AP002812.5	Clone-based (Ensembl) gene	
ENSG00000223372	3116	HLA-DPB2	HGNC Symbol	HLA-DPB2
ENSG00000087884	28971	AAMDC	HGNC Symbol	AAMDC
ENSG00000250989		AL390726.2	Clone-based (Ensembl) gene	
ENSG00000237487		VN1R48P	HGNC Symbol	VN1R48P
ENSG00000268191		AC010503.1	Clone-based (Ensembl) gene	
ENSG00000248209		AC097462.1	Clone-based (Ensembl) gene	
ENSG00000259922		AC023825.1	Clone-based (Ensembl) gene	
ENSG00000249795		AC097462.2	Clone-based (Ensembl) gene	
ENSG00000268203		AC010503.2	Clone-based (Ensembl) gene	
ENSG00000173275	203523	ZNF449	HGNC Symbol	ZNF449
ENSG00000140853	84166	NLRC5	HGNC Symbol	NLRC5
ENSG00000104833	10382	TUBB4A	HGNC Symbol	TUBB4A
ENSG00000266302		AC098850.3	Clone-based (Ensembl) gene	
ENSG00000230080		AC139143.1	Clone-based (Ensembl) gene	
ENSG00000239293		OR9P1P	HGNC Symbol	OR9P1P
ENSG00000229869	101927762	AL359878.2	Clone-based (Ensembl) gene	
ENSG00000225781	346517	OR6V1	HGNC Symbol	OR6V1
ENSG00000170160	9720	CCDC144A	HGNC Symbol	CCDC144A
ENSG00000226173	6890	TAP1	HGNC Symbol	TAP1
ENSG00000225064	105373852	LINC01802	HGNC Symbol	LINC01802
ENSG00000143977	6637	SNRPG	HGNC Symbol	SNRPG
ENSG00000229647		MYOSLID	HGNC Symbol	MYOSLID
ENSG00000262045	3885	KRT34	HGNC Symbol	KRT34
ENSG00000134755	1824	DSC2	HGNC Symbol	DSC2
ENSG00000179420	89883	OR6W1P	HGNC Symbol	OR6W1P
ENSG00000229015	100506790	AL450472.1	Clone-based (Ensembl) gene	
ENSG00000159763	5304	PIP	HGNC Symbol	PIP
ENSG00000118260	1385	CREB1	HGNC Symbol	CREB1
ENSG00000067064	3422	IDI1	HGNC Symbol	IDI1
ENSG00000178947	399668	SMIM10L2A	HGNC Symbol	SMIM10L2A
ENSG00000230341	170954	PPP1R18	HGNC Symbol	PPP1R18
ENSG00000230341	107987457	PPP1R18	HGNC Symbol	PPP1R18
ENSG00000225769		CROCCP1	HGNC Symbol	CROCCP1
ENSG00000277114	4849	CNOT3	HGNC Symbol	CNOT3
ENSG00000273988		AL450472.3	Clone-based (Ensembl) gene	
ENSG00000250409		AC010608.1	Clone-based (Ensembl) gene	
ENSG00000271158		AL450472.2	Clone-based (Ensembl) gene	
ENSG00000240611		AC010307.1	Clone-based (Ensembl) gene	
ENSG00000279197		AC010608.2	Clone-based (Ensembl) gene	
ENSG00000250244		AC010307.4	Clone-based (Ensembl) gene	
ENSG00000214283		RAD51AP1P1	HGNC Symbol	RAD51AP1P1
ENSG00000165359	203522	INTS6L	HGNC Symbol	INTS6L
ENSG00000249142		AC074134.1	Clone-based (Ensembl) gene	
ENSG00000224832	101927869	LINC01689	HGNC Symbol	LINC01689
ENSG00000110375	7379	UPK2	HGNC Symbol	UPK2
ENSG00000251243		AC005178.1	Clone-based (Ensembl) gene	
ENSG00000249478		AC010307.3	Clone-based (Ensembl) gene	
ENSG00000179913	10331	B3GNT3	HGNC Symbol	B3GNT3
ENSG00000230929		AC099513.1	Clone-based (Ensembl) gene	
ENSG00000110218	24145	PANX1	HGNC Symbol	PANX1
ENSG00000196900	389320	TEX43	HGNC Symbol	TEX43
ENSG00000235032		BMP7-AS1	HGNC Symbol	BMP7-AS1
ENSG00000255500		AC109635.6	Clone-based (Ensembl) gene	
ENSG00000280424	730668	BX537318.2	Clone-based (Ensembl) gene	
ENSG00000255001		AC109635.3	Clone-based (Ensembl) gene	
ENSG00000255042	441601	AC109635.4	Clone-based (Ensembl) gene	
ENSG00000248780		ARL4AP2	HGNC Symbol	ARL4AP2
ENSG00000205642	425054	VCX3B	HGNC Symbol	VCX3B
ENSG00000275223		AL121906.2	Clone-based (Ensembl) gene	
ENSG00000188655	390443	RNASE9	HGNC Symbol	RNASE9
ENSG00000273145		BX537318.1	Clone-based (Ensembl) gene	
ENSG00000227993	3122	HLA-DRA	HGNC Symbol	HLA-DRA
ENSG00000231711	100271722	LINC00899	HGNC Symbol	LINC00899
ENSG00000245869		AP004609.1	Clone-based (Ensembl) gene	
ENSG00000267691		SHC1P2	HGNC Symbol	SHC1P2
ENSG00000121089		NACA3P	HGNC Symbol	NACA3P
ENSG00000236398	259285	TAS2R39	HGNC Symbol	TAS2R39
ENSG00000186174	283149	BCL9L	HGNC Symbol	BCL9L
ENSG00000279245	100132967	FAM223A	HGNC Symbol	FAM223A
ENSG00000254518		AC109635.2	Clone-based (Ensembl) gene	
ENSG00000236941		AC106872.1	Clone-based (Ensembl) gene	
ENSG00000273041		ATF4P2	HGNC Symbol	ATF4P2
ENSG00000231010		AL121672.1	Clone-based (Ensembl) gene	
ENSG00000186532	114826	SMYD4	HGNC Symbol	SMYD4
ENSG00000110090	1374	CPT1A	HGNC Symbol	CPT1A
ENSG00000273289		AL121672.3	Clone-based (Ensembl) gene	
ENSG00000241990		PRR34-AS1	HGNC Symbol	PRR34-AS1
ENSG00000250357		AC108935.1	Clone-based (Ensembl) gene	
ENSG00000278812	286122	C8orf31	HGNC Symbol	C8orf31
ENSG00000225176		ATP5MGP4	HGNC Symbol	ATP5MGP4
ENSG00000160111	27151	CPAMD8	HGNC Symbol	CPAMD8
ENSG00000275918	90011	KIR3DX1	HGNC Symbol	KIR3DX1
ENSG00000272572		AL138762.1	Clone-based (Ensembl) gene	
ENSG00000233010		RPEP4	HGNC Symbol	RPEP4
ENSG00000184611	90134	KCNH7	HGNC Symbol	KCNH7
ENSG00000266929		AC067852.1	Clone-based (Ensembl) gene	
ENSG00000237484	105372751	LINC01684	HGNC Symbol	LINC01684
ENSG00000255804	79549	OR6J1	HGNC Symbol	OR6J1
ENSG00000278131		AC116050.1	Clone-based (Ensembl) gene	
ENSG00000143429		LSP1P4	HGNC Symbol	LSP1P4
ENSG00000242061		AL160314.1	Clone-based (Ensembl) gene	
ENSG00000148377	91734	IDI2	HGNC Symbol	IDI2
ENSG00000228165		AL158147.1	Clone-based (Ensembl) gene	
ENSG00000108784	4669	NAGLU	HGNC Symbol	NAGLU
ENSG00000186575	4771	NF2	HGNC Symbol	NF2
ENSG00000233186		KLF4P1	HGNC Symbol	KLF4P1
ENSG00000231307		RPS3P2	HGNC Symbol	RPS3P2
ENSG00000256745		AP002784.2	Clone-based (Ensembl) gene	
ENSG00000108960	23531	MMD	HGNC Symbol	MMD
ENSG00000170471	57148	RALGAPB	HGNC Symbol	RALGAPB
ENSG00000226983	339622	LINC01692	HGNC Symbol	LINC01692
ENSG00000235213		OR6E1P	HGNC Symbol	OR6E1P
ENSG00000230379		AP000146.1	Clone-based (Ensembl) gene	
ENSG00000235159		AL121672.2	Clone-based (Ensembl) gene	
ENSG00000155463	5018	OXA1L	HGNC Symbol	OXA1L
ENSG00000182257	55267	PRR34	HGNC Symbol	PRR34
ENSG00000244278		AP000235.1	Clone-based (Ensembl) gene	
ENSG00000237444		AP001342.1	Clone-based (Ensembl) gene	
ENSG00000171320	157570	ESCO2	HGNC Symbol	ESCO2
ENSG00000227090		AP000402.1	Clone-based (Ensembl) gene	
ENSG00000197182	400931	MIRLET7BHG	HGNC Symbol	MIRLET7BHG
ENSG00000107937	23560	GTPBP4	HGNC Symbol	GTPBP4
ENSG00000250519		AP002784.1	Clone-based (Ensembl) gene	
ENSG00000251412		AC006296.2	Clone-based (Ensembl) gene	
ENSG00000273184		AC010655.4	Clone-based (Ensembl) gene	
ENSG00000248425		AC006296.1	Clone-based (Ensembl) gene	
ENSG00000233587	102723362	LINC01884	HGNC Symbol	LINC01884
ENSG00000261846	344752	AADACL2	HGNC Symbol	AADACL2
ENSG00000282669		AK3P2	HGNC Symbol	AK3P2
ENSG00000262235		TMF1P1	HGNC Symbol	TMF1P1
ENSG00000262801		U91319.1	Clone-based (Ensembl) gene	
ENSG00000265967		AC100830.3	Clone-based (Ensembl) gene	
ENSG00000227526		HLA-DRB9	HGNC Symbol	HLA-DRB9
ENSG00000259635		AC100830.1	Clone-based (Ensembl) gene	
ENSG00000230342		FANCD2P2	HGNC Symbol	FANCD2P2
ENSG00000277808	79165	LENG1	HGNC Symbol	LENG1
ENSG00000264937		AC100830.2	Clone-based (Ensembl) gene	
ENSG00000262011		AC003009.1	Clone-based (Ensembl) gene	
